index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
89,nusaparagraph_topic_rej_nusantara_text,2,eng,0.5942857142857143,0.5942857142857143,0.5942857142857143,0.5942857142857143,0.6298262227538544,0.6334714905717711,0.5827208160222777,0.6072519176729703,0.5942857142857143,0.5562947446913422
90,nusaparagraph_topic_sun_nusantara_text,0,eng,0.7088888888888889,0.7088888888888889,0.7088888888888889,0.7088888888888889,0.6936561587549759,0.7086645399601148,0.6728555289538276,0.7057623307634485,0.7088888888888889,0.6789503333802989
91,nusaparagraph_topic_sun_nusantara_text,1,eng,0.6844444444444444,0.6844444444444444,0.6844444444444444,0.6844444444444444,0.6846305364512285,0.6782907894641311,0.6559271320170503,0.6892331056073635,0.6844444444444444,0.6604757078540027
92,nusaparagraph_topic_sun_nusantara_text,2,eng,0.6711111111111111,0.6711111111111111,0.6711111111111111,0.6711111111111111,0.6880094088341527,0.6678816321767933,0.647748412175126,0.6919719313043402,0.6711111111111111,0.6512815691701149
93,nusatranslation_emot_btk_nusantara_text,0,eng,0.382,0.382,0.382,0.382,0.5980780212414946,0.34968408091361003,0.3346265708625064,0.5811998818818577,0.382,0.36208108705814
94,nusatranslation_emot_btk_nusantara_text,1,eng,0.451,0.451,0.451,0.451,0.6527292682702132,0.4298703697967424,0.4187459871730617,0.6285011893014905,0.451,0.4344835150688841
95,nusatranslation_emot_btk_nusantara_text,2,eng,0.447,0.447,0.447,0.447,0.6742856350029575,0.4228127939803713,0.4278405349850619,0.6446853577260182,0.447,0.44255899729437365
96,nusatranslation_emot_bew_nusantara_text,0,eng,0.519,0.519,0.519,0.519,0.75606285363913,0.48787282540333077,0.49895018730006396,0.7334298596646379,0.519,0.5186530841246688
97,nusatranslation_emot_bew_nusantara_text,1,eng,0.593,0.593,0.593,0.593,0.7210177661120794,0.5756162622835644,0.5729548753984953,0.7057873811599394,0.593,0.5849760866569124
98,nusatranslation_emot_bew_nusantara_text,2,eng,0.575,0.575,0.575,0.575,0.7436187952577072,0.5631911085301636,0.5821636897668488,0.7233811051108436,0.575,0.5848337160438686
99,nusatranslation_emot_jav_nusantara_text,0,eng,0.537,0.537,0.537,0.537,0.761554670811688,0.510026465679545,0.5277795262074088,0.7337582392484656,0.537,0.538315787254402
100,nusatranslation_emot_jav_nusantara_text,1,eng,0.639,0.639,0.639,0.639,0.7319020092039566,0.6269857344030346,0.6351557463359846,0.7178175646360423,0.639,0.6394269280883503
101,nusatranslation_emot_jav_nusantara_text,2,eng,0.592,0.592,0.592,0.592,0.7565194433779519,0.5839767846349512,0.6086873673120353,0.733466923335926,0.592,0.6049411664185546
102,nusatranslation_emot_mad_nusantara_text,0,eng,0.414,0.414,0.414,0.414,0.7537967157614314,0.3841308472273896,0.365655448527549,0.7222474001512387,0.414,0.3906068854840142
103,nusatranslation_emot_mad_nusantara_text,1,eng,0.483,0.483,0.483,0.483,0.6329697241725711,0.4670283971919261,0.4555245444212419,0.6243141863571756,0.483,0.4686006946041783
104,nusatranslation_emot_mad_nusantara_text,2,eng,0.471,0.471,0.471,0.471,0.6351802559027052,0.4580823031007338,0.4596040200379644,0.6225125895642891,0.471,0.46673393243621025
105,nusatranslation_emot_mak_nusantara_text,0,eng,0.319,0.319,0.319,0.319,0.666732077556423,0.291580700579726,0.2493585807266673,0.6356252877938934,0.319,0.27690196087670504
106,nusatranslation_emot_mak_nusantara_text,1,eng,0.369,0.369,0.369,0.369,0.5639522649362618,0.3524472998255705,0.3255970379063374,0.564494846543965,0.369,0.3407486145384101
107,nusatranslation_emot_mak_nusantara_text,2,eng,0.372,0.372,0.372,0.372,0.602955182072829,0.3545533620149817,0.33647306232074126,0.581186274509804,0.372,0.3491550069596533
108,nusatranslation_emot_min_nusantara_text,0,eng,0.502,0.502,0.502,0.502,0.7575108924801006,0.4733067462463837,0.48809214614964047,0.7339252957790329,0.502,0.5065754847732321
109,nusatranslation_emot_min_nusantara_text,1,eng,0.569,0.569,0.569,0.569,0.7149344379443875,0.5559572605088604,0.5643512218897313,0.6997708079540107,0.569,0.571802675758264
110,nusatranslation_emot_min_nusantara_text,2,eng,0.575,0.575,0.575,0.575,0.7433701899751127,0.5684678147268543,0.5966665515163265,0.7203309034416585,0.575,0.5934345718542289
111,nusatranslation_emot_mui_nusantara_text,0,eng,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.7738356728214741,0.5326768832489657,0.5354598105054922,0.7436779056657353,0.5666666666666667,0.5543084231349888
112,nusatranslation_emot_mui_nusantara_text,1,eng,0.6488888888888888,0.6488888888888888,0.6488888888888888,0.6488888888888888,0.7426022273344911,0.6279671122314816,0.627389422998438,0.730231294873622,0.6488888888888888,0.6391951877688097
113,nusatranslation_emot_mui_nusantara_text,2,eng,0.6577777777777778,0.6577777777777778,0.6577777777777778,0.6577777777777778,0.7851946994765925,0.6484010926331563,0.668950991441397,0.7658405408173341,0.6577777777777778,0.6661162205947623
114,nusatranslation_emot_rej_nusantara_text,0,eng,0.38222222222222224,0.38222222222222224,0.38222222222222224,0.38222222222222224,0.4841676929392447,0.31970397091839226,0.29121863617710175,0.5121199940704252,0.38222222222222224,0.3352173524702521
115,nusatranslation_emot_rej_nusantara_text,1,eng,0.4622222222222222,0.4622222222222222,0.4622222222222222,0.4622222222222222,0.5029493589352744,0.4211520389793634,0.41456983125168045,0.5269075764263558,0.4622222222222222,0.4400578689416926
116,nusatranslation_emot_rej_nusantara_text,2,eng,0.42444444444444446,0.42444444444444446,0.42444444444444446,0.42444444444444446,0.5163601171112557,0.378711762620681,0.3732771623005523,0.5279245825200607,0.42444444444444446,0.3982313720167163
117,nusatranslation_emot_sun_nusantara_text,0,eng,0.582,0.582,0.582,0.582,0.7595363045068949,0.565447602436363,0.5917386999412405,0.735734559366431,0.582,0.5932977639860469
118,nusatranslation_emot_sun_nusantara_text,1,eng,0.653,0.653,0.653,0.653,0.7347486032649412,0.6467656988000297,0.6538465199154604,0.7209082843093735,0.653,0.654227440929886
119,nusatranslation_emot_sun_nusantara_text,2,eng,0.62,0.62,0.62,0.62,0.754143295696492,0.6182495026551346,0.6405035626312223,0.7331267131843939,0.62,0.632543581477624
120,nusatranslation_senti_abs_nusantara_text,0,eng,0.648,0.648,0.648,0.648,0.5159156676312525,0.4444899715228125,0.4652830125466941,0.8678023976849938,0.648,0.7283107693853963
121,nusatranslation_senti_abs_nusantara_text,1,eng,0.432,0.432,0.432,0.432,0.5044354552551275,0.3000553154002172,0.3631528107084165,0.8614226101767085,0.432,0.5610742538858153
122,nusatranslation_senti_abs_nusantara_text,2,eng,0.56,0.56,0.56,0.56,0.4981795426100808,0.4109183039342225,0.4225438705009541,0.8530339060188873,0.56,0.6446845934973066
123,nusatranslation_senti_btk_nusantara_text,0,eng,0.6191666666666666,0.6191666666666666,0.6191666666666666,0.6191666666666666,0.4841078467602858,0.40310354938219994,0.4372209447856332,0.7900273427876324,0.6191666666666666,0.691077761931096
